PsycHIRE — Feature Tracker,,,,,,,
For client & team review · Priority: Core = launch-critical · Standard = full release · Enhanced = power features · Phase II = future,,,,,,,
#,Module,Area,Feature,Description,Priority,Status,QA
AUTHENTICATION,,,,,,,
1,Authentication,Sign In & Sign Up,Login,Users sign in with email and password to access the platform.,Core,Done,Done
2,Authentication,Sign In & Sign Up,Sign Up,"New users register with name, email, and password.",Core,Done,Done
3,Authentication,Sign In & Sign Up,Onboarding,"New users complete a guided 3-step setup: select role, choose interests, fill profile details.",Core,Done,Done
4,Authentication,Sign In & Sign Up,Logout,Users log out from the profile menu and are returned to the login screen.,Core,Done,Done
5,Authentication,Roles,Role switcher,"Users can switch between roles (Student, Professional, Company, Admin) from the profile menu. The platform adapts its content and navigation accordingly.",Core,Done,Done
NAVIGATION,,,,,,,
6,Navigation,Global Navigation,Desktop navigation bar,Top navigation with clearly labelled sections. Active section is visually highlighted.,Core,Done,Done
7,Navigation,Global Navigation,Mobile navigation,"On mobile, a hamburger menu opens a full navigation drawer. A fixed bottom bar provides one-tap access to key sections.",Core,Done,Done
8,Navigation,Global Navigation,Role-based navigation,Nav items adapt per role — Company users see 'My Listings'; Admin users see 'Admin Dashboard'.,Core,Done,Done
9,Navigation,Global Navigation,Profile dropdown menu,"Click profile avatar to access role switcher, settings, messages, and logout.",Core,Done,"For mobile view - profile, settings is not found"
10,Navigation,Notifications,Notification bell,"Header bell icon shows unread count. Clicking opens a dropdown listing recent notifications (applications received, reviews, connection requests, system alerts). Notifications can be marked as read.",Standard,Done,No notification bell present
11,Navigation,Notifications,Connection requests,Pending connection requests are shown in the header and can be accepted or rejected in one click.,Standard,Done,"For mobile view, connection request is pending"
HOME DASHBOARD,,,,,,,
12,Home Dashboard,Dashboard,Personalised welcome,Homepage greets the user by name with role-appropriate context and content.,Core,Done,Done
13,Home Dashboard,Dashboard,New user setup prompts,"First-time users see actionable setup steps: complete profile, explore jobs, connect with peers.",Core,Done,Pending
14,Home Dashboard,Dashboard,Recommended listings,Horizontally scrollable row of recommended jobs and projects based on the user's profile.,Core,Done,Done
15,Home Dashboard,Dashboard,In-progress items,"Displays the user's active mentorships, supervisions, projects, and event registrations with quick navigation links.",Core,Done,Done
16,Home Dashboard,Dashboard,Upcoming events,Cards showing the user's next events with date and location at a glance.,Standard,Done,Pending
17,Home Dashboard,Dashboard,Suggestions sidebar,Suggested mentors and courses personalised to the user's interests.,Standard,Done,Pending
18,Home Dashboard,Dashboard,Role-aware content,Students see internship and early-career content; Professionals see consulting opportunities; Companies see a hiring dashboard shortcut.,Core,Done,Pending
JOBS,,,,,,,
19,Jobs,Browse & Discover,Browse jobs,"Scrollable job listings with a filter sidebar to narrow by location, job type, experience level, salary range, and work mode.",Core,Done,Done
20,Jobs,Browse & Discover,Job card,"Each listing shows title, company, location, salary, job type, and a save toggle. Featured jobs are visually highlighted.",Core,Done,Done
21,Jobs,Browse & Discover,Job detail page,"Full listing view: description, requirements, compensation, benefits, company info, and apply CTA.",Core,Done,Done
22,Jobs,Browse & Discover,Student role restrictions,"Students automatically see only internships, volunteering roles, and early-career jobs — other listings are filtered out.",Core,Done,Pending
23,Jobs,Browse & Discover,Saved jobs,Users can save jobs and view them in a dedicated 'Saved' tab.,Core,Done,Done
